FiTUA: Journal of Islamic Studies	Journal	collected from a compatible aggregator		http://ejournal.stitbima.ac.id/index.php/fitua/
Fashluna: Jurnal Pendidikan Dasar dan Keguruan	Journal	collected from a compatible aggregator		http://ejournal.stitbima.ac.id/index.php/fashluna/
Fitrah: Jurnal Studi Pendidikan	Journal	collected from a compatible aggregator		http://ejournal.stitbima.ac.id/index.php/fitrah/
VIRTA	CRIS Aggregator	OpenAIRE CRIS v1.1	https://virta-jtp.csc.fi/api/cerif	https://www.csc.fi
Metis Radboud University	CRIS System	Not yet registered		https://metistst.ru.nl/
VTT Research Information System	CRIS System	Not yet registered		https://cris.vtt.fi
Научные журналы АлтГУ	Journal Aggregator/Publisher	OpenAIRE Basic (DRIVER OA)	http://journal.asu.ru/index.php/index/oai	http://journal.asu.ru/index.php/index/index
Journal of Open Hardware	Journal	OpenAIRE 3.0 (OA, funding)	http://openhardware.metajnl.com/jms/index.php/up/oai/	http://openhardware.metajnl.com/
Revista Voces de la Educación	Journal	OpenAIRE Basic (DRIVER OA)	http://www.revista.vocesdelaeducacion.com.mx/index.php/index/oai	http://www.revista.vocesdelaeducacion.com.mx/index.php/voces/index
Portal de Revistas Científicas da UFPA	Journal Aggregator/Publisher	OpenAIRE Basic (DRIVER OA)	http://www.periodicos.ufpa.br/index.php/index/oai	http://www.periodicos.ufpa.br/
Revista de Ciência da Computação	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/recic
FLOEMA. Caderno de Teoria e História Literária	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/floema
Politeia: História e Sociedade	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/politeia
Revista Extensão &amp; Cidadania	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/recuesb
Revista de Iniciação à Docência	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/rid
fólio - Revista de Letras	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/folio
Filosofando: Revista Eletrônica de Filosofia da UESB	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/filosofando
Geopauta	Journal	Not yet registered		http://periodicos2.uesb.br/index.php/geo
Estudos da Língua(gem)	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/estudosdalinguagem
Revista Científica do Curso de Direito	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/rccd
Revista Binacional Brasil-Argentina: Diálogo entre as ciências	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/rbba
Aprender - Caderno de Filosofia e Psicologia da Educação	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/aprender
Práxis Educacional	Journal	Not yet registered		http://periodicos2.uesb.br/index.php/praxis
REDISCO – Revista Eletrônica de Estudos do Discurso e do Corpo	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/redisco
Saúde.Com	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/rsc
Didaskalia	Journal	collected from a compatible aggregator		https://revistas.ucp.pt/index.php/didaskalia/index
Comunicação &amp; Cultura	Journal	Not yet registered		https://revistas.ucp.pt/index.php/comunicacaoecultura/index
Cadernos de Pedagogia Social	Journal	Not yet registered		https://revistas.ucp.pt/index.php/cpedagogiasocial/index
Diffractions	Journal	collected from a compatible aggregator		https://revistas.ucp.pt/index.php/diffractions/index
Theologica	Journal	collected from a compatible aggregator		https://revistas.ucp.pt/index.php/theologica/index
Gaudium Sciendi	Journal	Not yet registered		https://revistas.ucp.pt/index.php/gaudiumsciendi/index
Gestão e Desenvolvimento	Journal	collected from a compatible aggregator		https://revistas.ucp.pt/index.php/gestaoedesenvolvimento/index
Revista de Artes Decorativas	Journal	collected from a compatible aggregator		https://revistas.ucp.pt/index.php/revistaartesdecorativas/index
Market and Competition Law Review	Journal	Not yet registered		https://revistas.ucp.pt/index.php/mclawreview/index
Journal of Modern Materials	Journal	collected from a compatible aggregator		https://journals.aijr.in/index.php/jmm
International Annals of Science	Journal	collected from a compatible aggregator		https://journals.aijr.in/index.php/ias
Advanced Journal of Graduate Research	Journal	collected from a compatible aggregator		https://journals.aijr.in/index.php/ajgr/index
Rocznik Filozoficzny Ignatianum	Journal	collected from a compatible aggregator		
Edukacja Elementarna w Teorii i Praktyce	Journal	collected from a compatible aggregator		
Химия растительного сырья	Journal	collected from a compatible aggregator		http://journal.asu.ru/index.php/cw/index
Культурное наследие Сибири	Journal	collected from a compatible aggregator		http://journal.asu.ru/index.php/knc/index
Здоровье человека, теория и методика физической культуры и спорта	Journal	collected from a compatible aggregator		http://journal.asu.ru/index.php/zosh/index
Наука и туризм: стратегии взаимодействия	Journal	collected from a compatible aggregator		http://journal.asu.ru/index.php/st/index
Народы и религии Евразии	Journal	Not yet registered		http://journal.asu.ru/index.php/wv
Юрислингвистика	Journal	collected from a compatible aggregator		http://journal.asu.ru/urisl
Turczaninowia	Journal	collected from a compatible aggregator		http://journal.asu.ru/index.php/tur/index
Экономика Профессия Бизнес	Journal	collected from a compatible aggregator		http://journal.asu.ru/index.php/ec/index
Теория и практика археологических исследований	Journal	collected from a compatible aggregator		http://journal.asu.ru/index.php/tpai/index
Acta Biologica Sibirica	Journal	collected from a compatible aggregator		http://journal.asu.ru/index.php/biol/index
"Annals of Spiru Haret"". Economic Series"""	Journal	collected from a compatible aggregator		http://anale.spiruharet.ro/index.php/economics/index
Annals of Spiru Haret University – Veterinary Medicine	Journal	collected from a compatible aggregator		http://anale.spiruharet.ro/index.php/medvet/index
OpenAPC Global Initiative	Data Repository Aggregator	proprietary		https://www.openapc.net/
Zeitschrift für Didaktik der Biologie (ZDB) - Biologie Lehren und Lernen	Journal	collected from a compatible aggregator		https://zdb.uni-bielefeld.de/index.php/zdb
International Journal of Conflict and Violence	Journal	collected from a compatible aggregator		https://www.ijcv.org/index.php/ijcv
InterDisciplines. Journal of History and Sociology	Journal	collected from a compatible aggregator		https://www.inter-disciplines.org/index.php/indi
WE_OS Jahrbuch	Journal	collected from a compatible aggregator		https://www.biejournals.de/index.php/we_os
BU praktisch - Das Online-Journal für den Biologieunterricht	Journal	collected from a compatible aggregator		https://www.bu-praktisch.de/index.php/bupraktisch
IZGOnZeit. Onlinezeitschrift des Interdisziplinären Zentrums für Geschlechterforschung (IZG)	Journal	collected from a compatible aggregator		https://www.izgonzeit.de/index.php/izgonzeit
Zeitschrift Hochschule und Weiterbildung (ZHWB)	Journal	collected from a compatible aggregator		https://www.hochschule-und-weiterbildung.net/index.php/zhwb
FoRuM Supervision - Zeitschrift für Beratungswissenschaft und Supervision	Journal	collected from a compatible aggregator		https://www.beratungundsupervision.de/index.php/fs
Biologie in unserer Zeit	Journal	collected from a compatible aggregator		https://www.biuz.de/index.php/biuz
Journal für Konflikt- und Gewaltforschung (JKG)	Journal	collected from a compatible aggregator		https://www.biejournals.de/index.php/jkg
Herausforderung Lehrer*innenbildung - Zeitschrift zur Konzeption, Gestaltung und Diskussion	Journal	collected from a compatible aggregator		https://www.herausforderung-lehrerinnenbildung.de/index.php/hlz
Latein und Griechisch in Nordrhein-Westfalen	Journal	collected from a compatible aggregator		https://www.biejournals.de/index.php/lgnrw
South Eastern European Journal of Public Health (SEEJPH)	Journal	collected from a compatible aggregator		https://www.seejph.com/index.php/seejph/
Die Materialwerkstatt. Zeitschrift für Konzepte und Arbeitsmaterialien für Lehrer*innenbildung und Unterricht.	Journal	collected from a compatible aggregator		https://www.dimawe.de/index.php/dimawe
PraxisForschungLehrer*innenBildung. Zeitschrift für Schul- und Professionsentwicklung.	Journal	collected from a compatible aggregator		https://www.pflb-journal.de/index.php/pflb
Artis Observatio	Journal	collected from a compatible aggregator		https://www.biejournals.de/index.php/ao
Journal of Engineering Computers & Applied Sciences	Journal	collected from a compatible aggregator		http://borjournals.com/a/index.php/jecas
Journal of Business Management & Social Sciences Research	Journal	collected from a compatible aggregator		http://borjournals.com/a/index.php/jbmssr
