Name,Type,Compatibility,OAI-PMH,website
"OpenAPC Global Initiative","Data Repository Aggregator","proprietary","","https://www.openapc.net/"
"Journal of College Orientation, Transition, and Retention","Journal","collected from a compatible aggregator","","https://pubs.lib.umn.edu/index.php/jcotr/index"
"Monitor Versorgungsforschung","Journal","Not yet registered","","https://www.monitor-versorgungsforschung.de"
"Dialogic Pedagogy","Journal","collected from a compatible aggregator","","https://dpj.pitt.edu"
"apropos [Perspektiven auf die Romania]","Journal","collected from a compatible aggregator","","http://www.apropos-romania.de"
"Engaged Management ReView","Journal","collected from a compatible aggregator","","https://emr.case.edu"
"Applied Economics Teaching Resources","Journal","Not yet registered","","https://www.aetrjournal.org/"
"Fossil Record","Journal","collected from a compatible aggregator","","https://fr.pensoft.net/"
"Comparative Oriental Manuscript Studies Bulletin","Journal","collected from a compatible aggregator","","https://www.aai.uni-hamburg.de/en/comst/publications/bulletin.html"
"Open Journal of Internet of Things","Journal","collected from a compatible aggregator","","https://www.ronpub.com/OJIOT"
"International Journal of Conflict and Violence","Journal","collected from a compatible aggregator","","http://www.ijcv.org"
"INFORMS Transactions on Education","Journal","collected from a compatible aggregator","","https://pubsonline.informs.org/journal/ited"
"Journal of Collective Bargaining in the Academy","Journal","collected from a compatible aggregator","","http://thekeep.eiu.edu/jcba/"
"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","Journal","collected from a compatible aggregator","","https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4609443"
"International Journal of Russian Studies","Journal","Not yet registered","","http://www.ijors.net"
"Journal of Women's Health and Gynecology","Journal","collected from a compatible aggregator","","http://www.jscholaronline.org/journals/journal-of-womens-health-and-gynecology/jhome.php"
"Journal of Spectral Theory","Journal","collected from a compatible aggregator","","https://ems.press/journals/jst"
"Interdisciplinary Journal of e-Skills and Lifelong Learning","Journal","collected from a compatible aggregator","","http://IJELL.org"
"Glossator: Practice and Theory of the Commentary","Journal","collected from a compatible aggregator","","http://glossator.org"
"Interdisciplinary Journal of Signage and Wayfinding","Journal","collected from a compatible aggregator","","https://journals.shareok.org/ijsw"
"kommunikation@gesellschaft","Journal","collected from a compatible aggregator","","https://journals.sub.uni-hamburg.de/hup2/kommges"
"Catholic Social Science Review","Journal","collected from a compatible aggregator","","http://www.catholicsocialscientists.org/journal-cssr.html"
"International Journal for Research in Vocational Education and Training","Journal","collected from a compatible aggregator","","http://www.ijrvet.net"
"Medical Review","Journal","Not yet registered","","https://www.degruyter.com/journal/key/mr/html"
"Health Equity","Journal","collected from a compatible aggregator","","http://www.liebertpub.com/heq"
"International Journal of Medical Students","Journal","collected from a compatible aggregator","","https://ijms.info/IJMS"
"HiN - Alexander von Humboldt im Netz. Internationale Zeitschrift für Humboldt-Studien","Journal","collected from a compatible aggregator","","http://www.hin-online.de/"
"Asian-European Music Research Journal","Journal","collected from a compatible aggregator","","https://www.logos-verlag.de/AEMR/"
"Julius-Kühn-Archiv","Journal","collected from a compatible aggregator","","https://ojs.openagrar.de/index.php/JKA"
"Journal of Management and Innovation","Journal","Not yet registered","","http://jmi.mercy.edu/index.php/JMI/index"
"Algebraic Combinatorics","Journal","collected from a compatible aggregator","","https://alco.centre-mersenne.org/"
"Studies in Communication, Media","Journal","collected from a compatible aggregator","","https://www.nomos-elibrary.de/zeitschrift/2192-4007"
"communication +1","Journal","collected from a compatible aggregator","","http://communicationplusone.org"
"Africa Spectrum","Journal","collected from a compatible aggregator","","https://journals.sagepub.com/home/afr"
"Soil Organisms","Journal","collected from a compatible aggregator","","http://www.soil-organisms.org/"
"Physical Review Special Topics. Physics Education Research","Journal","collected from a compatible aggregator","","https://journals.aps.org/prper/"
"Optometric Education","Journal","Not yet registered","","https://journal.opted.org"
"Sexual Offending","Journal","Not yet registered","","https://sotrap.psychopen.eu/"
"Journal of Financial Therapy","Journal","collected from a compatible aggregator","","http://jftonline.org/"
"npj Science of Learning","Journal","collected from a compatible aggregator","","https://www.nature.com/npjscilearn/"
"International Journal for Court Administration","Journal","collected from a compatible aggregator","","https://www.iacajournal.org"
"ILIRIA International Review","Journal","collected from a compatible aggregator","","http://iliriapublications.org/index.php/iir/index"
"Nanophotonics","Journal","collected from a compatible aggregator","","https://www.degruyter.com/journal/key/nanoph/html#submit"
"Online Journal of Nursing Informatics","Journal","collected from a compatible aggregator","","http://www.himss.org/ojni"
"Journal of Regulatory Science","Journal","collected from a compatible aggregator","","http://journalofregulatoryscience.org"
"Вивліоѳика","Journal","collected from a compatible aggregator","","https://iopn.library.illinois.edu/journals/vivliofika/index"
"Marshall Journal of Medicine","Journal","collected from a compatible aggregator","","https://mds.marshall.edu/mjm/"
"Global Education Review","Journal","collected from a compatible aggregator","","http://ger.mercy.edu"
"Coherent Optical Phenomena","Journal","collected from a compatible aggregator","","http://www.degruyter.com/view/j/coph"
"Journal of the American Society for Horticultural Science","Journal","collected from a compatible aggregator","","https://journals.ashs.org/jashs/view/journals/jashs/jashs-overview.xml"
"Journal of Public Interest Communications","Journal","collected from a compatible aggregator","","https://journals.flvc.org/jpic/index"
"Reviews in Analytical Chemistry","Journal","collected from a compatible aggregator","","https://www.degruyter.com/view/journals/revac/revac-overview.xml"
"Sample Preparation","Journal","collected from a compatible aggregator","","http://www.degruyter.com/view/j/sampre"
"Molecular &amp; Cellular Epilepsy","Journal","collected from a compatible aggregator","","http://www.smartscitech.com/index.php/MCE/index"
"Tradition &amp; Discovery","Journal","collected from a compatible aggregator","","http://polanyisociety.org"
"IEEE Open Journal of Instrumentation and Measurement","Journal","Not yet registered","","https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=9552935"
"Dotawo","Journal","Not yet registered","","https://escholarship.org/uc/dotawo"
"Biogeosciences","Journal","collected from a compatible aggregator","","http://www.biogeosciences.net"
"Current Issues in Education","Journal","collected from a compatible aggregator","","https://cie.asu.edu/ojs/index.php/cieatasu"
"npj Urban Sustainability","Journal","Not yet registered","","https://www.nature.com/npjurbansustain"
"Drinking Water Engineering and Science","Journal","collected from a compatible aggregator","","http://www.drink-water-eng-sci.net/recent_papers.html"
"National Accounting Review","Journal","collected from a compatible aggregator","","https://www.aimspress.com/journal/nar"
"Journal of Copyright in Education and Librarianship","Journal","collected from a compatible aggregator","","https://www.jcel-pub.org"
"Journal of Numerical Cognition","Journal","collected from a compatible aggregator","","http://jnc.psychopen.eu"
"Journal of Biological Methods","Journal","collected from a compatible aggregator","","http://www.jbmethods.org"
"Neutrosophic Sets and Systems","Journal","collected from a compatible aggregator","","http://fs.unm.edu/NSS"
"Animal Sentience","Journal","collected from a compatible aggregator","","https://www.wellbeingintlstudiesrepository.org/animsent/"
"Journal of Muslim Mental Health","Journal","collected from a compatible aggregator","","http://www.journalofmuslimmentalhealth.org/"
"Clinical Psychology in Europe","Journal","collected from a compatible aggregator","","https://cpe.psychopen.eu/index.php/cpe"
"Romanische Studien","Journal","collected from a compatible aggregator","","http://www.romanischestudien.de"
"Networks and Neighbours","Journal","collected from a compatible aggregator","","http://www.networksandneighbours.org"
"Pediatric Neurology Briefs","Journal","collected from a compatible aggregator","","http://www.pediatricneurologybriefs.com"
"IEEE Open Journal of Nanotechnology","Journal","collected from a compatible aggregator","","https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8782713"
"Advances in Laboratory Medicine","Journal","Not yet registered","","https://www.degruyter.com/journal/key/almed/html"
"HortScience","Journal","collected from a compatible aggregator","","https://journals.ashs.org/hortsci/view/journals/hortsci/hortsci-overview.xml"
"Vision Rehabilitation International","Journal","collected from a compatible aggregator","","https://www.exeley.com/journal/International_Journal_of_Orientation_and_Mobility"
"Information Technologies and International Development","Journal","collected from a compatible aggregator","","http://itidjournal.org/itid"
"Nonpartisan Education Review","Journal","collected from a compatible aggregator","","https://nonpartisaneducation.org/"
"Nanofabrication","Journal","collected from a compatible aggregator","","https://www.degruyter.com/journal/key/NANOFAB/html"
"PLoS Computational Biology","Journal","collected from a compatible aggregator","","https://journals.plos.org/ploscompbiol/"
"Global Journal of Cardiovascular and Cerebrovascular Diseases","Journal","collected from a compatible aggregator","","http://journal.newcenturyscience.com/index.php/gjccd"
"Landscape Online","Journal","collected from a compatible aggregator","","https://www.landscape-online.org/"
"Journal of Florida Studies","Journal","Not yet registered","","http://www.journaloffloridastudies.org"
"NORDEUROPAforum - Zeitschrift für Kulturstudien","Journal","collected from a compatible aggregator","","http://www.nordeuropaforum.de"
"Journal of Southern Religion","Journal","Not yet registered","","http://jsreligion.org"
"Journal of Western Archives","Journal","collected from a compatible aggregator","","http://digitalcommons.usu.edu/westernarchives/"
"High Temperature Materials and Processes","Journal","collected from a compatible aggregator","","https://www.degruyter.com/view/journals/htmp/htmp-overview.xml"
"Journal of Laboratory Medicine","Journal","collected from a compatible aggregator","","https://www.degruyter.com/view/journals/labm/labm-overview.xml"
"Quantitative Science Studies","Journal","collected from a compatible aggregator","","https://direct.mit.edu/qss"
"​​​​​​​​Infectious Diseases &amp; Immunity","Journal","Not yet registered","","https://journals.lww.com/IDI/pages/default.aspx"
"Primate Biology","Journal","collected from a compatible aggregator","","http://www.primate-biology.net/"
"Molecular Vision","Journal","collected from a compatible aggregator","","http://www.molvis.org/molvis/"
"Religion and Society","Journal","collected from a compatible aggregator","","https://www.berghahnjournals.com/view/journals/religion-and-society/religion-and-society-overview.xml"
"npj Clean Water","Journal","collected from a compatible aggregator","","https://www.nature.com/npjcleanwater/"
"American Business Review","Journal","collected from a compatible aggregator","","https://digitalcommons.newhaven.edu/americanbusinessreview/"
"Partnerships : A Journal of Service-Learning and Civic Engagement","Journal","collected from a compatible aggregator","","http://libjournal.uncg.edu/ojs/index.php/prt"
"Open Computer Science","Journal","collected from a compatible aggregator","","https://www.degruyter.com/view/j/comp"
"International Journal of Exercise Science","Journal","collected from a compatible aggregator","","http://www.intjexersci.com"
"Journal of Sensors and Sensor Systems","Journal","collected from a compatible aggregator","","http://www.journal-of-sensors-and-sensor-systems.net"
"Special Matrices","Journal","collected from a compatible aggregator","","https://www.degruyter.com/journal/key/spma/html"
"School Leadership Review","Journal","collected from a compatible aggregator","","https://scholarworks.sfasu.edu/slr/"
"Cyborg and Bionic Systems","Journal","collected from a compatible aggregator","","https://spj.sciencemag.org/journals/cbsystems/"
"Revista Panamericana de Salud Pública","Journal","collected from a compatible aggregator","","http://www.paho.org/journal/"
"Impacting Education","Journal","collected from a compatible aggregator","","https://impactinged.pitt.edu"
"o-bib. Das offene Bibliotheksjournal","Journal","OpenAIRE Basic (DRIVER OA)","https://www.o-bib.de/oai","http://www.o-bib.de/index"
"Journal of Information Policy","Journal","collected from a compatible aggregator","","http://www.psupress.org/Journals/jnls_JIP.html"
"International Journal of Prognostics and Health Management","Journal","collected from a compatible aggregator","","http://www.ijphm.org"
"Journal of Dynamic Decision Making","Journal","collected from a compatible aggregator","","https://journals.ub.uni-heidelberg.de/index.php/jddm"
"Computational Psychiatry","Journal","collected from a compatible aggregator","","https://www.cpsyjournal.org/"
"Global Health: Science and Practice Journal","Journal","collected from a compatible aggregator","","http://www.ghspjournal.org/"
"Archives of Scientific Psychology","Journal","collected from a compatible aggregator","","http://www.apa.org/pubs/journals/arc/"
"G3: Genes, Genomes, Genetics","Journal","collected from a compatible aggregator","","https://academic.oup.com/g3journal"
"Skriptum : Studentische Onlinezeitschrift für Geschichte und Geschichtsdidaktik","Journal","collected from a compatible aggregator","","http://www.skriptum-geschichte.de"
"Journal of International and Global Studies","Journal","collected from a compatible aggregator","","http://www.lindenwood.edu/academics/beyond-the-classroom/publications/journal-of-international-global-studies/"
"Journal on Migration and Human Security","Journal","collected from a compatible aggregator","","http://jmhs.cmsny.org/index.php/jmhs"
"Optics Continuum","Journal","Not yet registered","","https://opg.optica.org/optcon/home.cfm"
"AIMS Bioengineering","Journal","collected from a compatible aggregator","","http://www.aimspress.com/journal/Bioengineering"
"Enquiry: The ARCC Journal of Architectural Research","Journal","collected from a compatible aggregator","","https://www.arcc-journal.org/index.php/arccjournal"
"LL Journal","Journal","collected from a compatible aggregator","","https://lljournal.commons.gc.cuny.edu/"
"Hepatology Communications","Journal","collected from a compatible aggregator","","https://journals.lww.com/hepcomm/pages/default.aspx"
"International Journal of Integrative Psychotherapy","Journal","collected from a compatible aggregator","","http://www.integrative-journal.com/index.php/ijip"
"RSF: The Russell Sage Foundation Journal of the Social Sciences","Journal","collected from a compatible aggregator","","https://www.rsfjournal.org"
"HiN - Alexander von Humboldt im Netz. Internationale Zeitschrift für Humboldt-Studien","Journal","collected from a compatible aggregator","","http://www.hin-online.de/"
"Theologie.Geschichte : Zeitschrift für Theologie und Kulturgeschichte","Journal","collected from a compatible aggregator","","http://universaar.uni-saarland.de/journals/index.php/tg"
"American Journal of Polymer Science &amp; Engineering","Journal","Not yet registered","","http://ivyunion.org/index.php/ajpse"
"AIMS Allergy and Immunology","Journal","collected from a compatible aggregator","","http://www.aimspress.com/journal/Allergy"
"Harvard Kennedy School Misinformation Review","Journal","collected from a compatible aggregator","","https://misinforeview.hks.harvard.edu"
"Digital Humanities Quarterly","Journal","collected from a compatible aggregator","","http://www.digitalhumanities.org/dhq/"
"PLoS Neglected Tropical Diseases","Journal","collected from a compatible aggregator","","https://journals.plos.org/plosntds/"
"Biomolecular Concepts","Journal","collected from a compatible aggregator","","https://www.degruyter.com/view/j/bmc"
"Kriminologie - Das Online-Journal","Journal","collected from a compatible aggregator","","https://www.kriminologie.de"
"Communications in Numerical Analysis","Journal","collected from a compatible aggregator","","http://ispacs.com/cna"
"The Journal of Critical Infrastructure Policy","Journal","Not yet registered","","https://www.jcip1.org/"
"TH Open","Journal","collected from a compatible aggregator","","https://doi.org/10.1055/s-00033990"
"Agricultural &amp; Environmental Letters","Journal","collected from a compatible aggregator","","https://acsess.onlinelibrary.wiley.com/journal/24719625"
"Practical Academic Librarianship","Journal","Not yet registered","","http://journals.tdl.org/pal"
"Neurophotonics","Journal","collected from a compatible aggregator","","https://www.spiedigitallibrary.org/journals/neurophotonics"
"npj Science of Food","Journal","collected from a compatible aggregator","","https://www.nature.com/npjscifood/"
"International Archives of Medicine","Journal","collected from a compatible aggregator","","http://imedicalpublisher.com/ojs/index.php/iam/issue/archive"
"Practical Assessment, Research &amp; Evaluation","Journal","collected from a compatible aggregator","","http://pareonline.net/"
"Journal of Sports Medicine and Allied Health Sciences: Official Journal of the Ohio Athletic Trainers' Association","Journal","collected from a compatible aggregator","","http://scholarworks.bgsu.edu/jsmahs/"
"Journal of Global Initiatives","Journal","collected from a compatible aggregator","","https://digitalcommons.kennesaw.edu/jgi/"
"North Carolina Libraries","Journal","collected from a compatible aggregator","","http://www.ncl.ecu.edu/index.php/NCL"
"Internationale Zeitschrift für Kulturkomparatistik","Journal","collected from a compatible aggregator","","https://izfk.uni-trier.de/index.php/izfk"
"Journal of Math Circles","Journal","Not yet registered","","https://digitalcommons.cwu.edu/mathcirclesjournal/"
"Journal of Montessori Research","Journal","collected from a compatible aggregator","","http://journals.ku.edu/jmr"
"Journal of Political Ecology","Journal","collected from a compatible aggregator","","https://journals.librarypublishing.arizona.edu/jpe/"
"The Qualitative Report","Journal","collected from a compatible aggregator","","https://nsuworks.nova.edu/tqr/"
"International Journal of Aviation, Aeronautics, and Aerospace","Journal","collected from a compatible aggregator","","http://commons.erau.edu/ijaaa/"
"Journal of Librarianship and Scholarly Communication","Journal","collected from a compatible aggregator","","http://jlsc-pub.org/"
"Journal of International Social Studies","Journal","collected from a compatible aggregator","","http://www.iajiss.org/index.php/iajiss"
"Pacific Geographies","Journal","collected from a compatible aggregator","","http://pacific-geographies.org"
"Journal of Education and Teaching in Emergency Medicine","Journal","collected from a compatible aggregator","","http://www.jetem.org"
"Journal of Early Hearing Detection and Intervention","Journal","collected from a compatible aggregator","","https://digitalcommons.usu.edu/jehdi/"
"Heterocyclic Communications","Journal","collected from a compatible aggregator","","https://www.degruyter.com/view/j/hc"
"National Cybersecurity Institute Journal","Journal","Not yet registered","","http://ncij.wp.excelsior.edu/"
"Interkulturelles Forum der deutsch-chinesischen Kommunikation","Journal","Not yet registered","","https://www.degruyter.com/journal/key/ifdck/html"
"Aging and Disease","Journal","collected from a compatible aggregator","","http://www.aginganddisease.org/"
"Cliodynamics","Journal","collected from a compatible aggregator","","https://escholarship.org/uc/irows_cliodynamics"
"Journal of the Medical Library Association","Journal","collected from a compatible aggregator","","http://jmla.mlanet.org/ojs/jmla"
"Issues and Trends in Educational Technology","Journal","collected from a compatible aggregator","","https://journals.librarypublishing.arizona.edu/itlt/"
"International Journal of Sports Physical Therapy","Journal","collected from a compatible aggregator","","https://ijspt.org/"
"Journal of Global Oncology","Journal","collected from a compatible aggregator","","https://ascopubs.org/journal/jgo"
"Health and Human Rights","Journal","Not yet registered","","https://www.hhrjournal.org"
"Journal of the Southeast Asian Linguistics Society","Journal","collected from a compatible aggregator","","https://evols.library.manoa.hawaii.edu/handle/10524/52368"
"Journal of Urban Mathematics Education","Journal","collected from a compatible aggregator","","https://jume-ojs-tamu.tdl.org/jume/index.php/JUME/index"
"Engineering in Life Sciences","Journal","collected from a compatible aggregator","","https://onlinelibrary.wiley.com/journal/16182863"
"E-Journal of Severe Storms Meteorology","Journal","collected from a compatible aggregator","","http://ejssm.org/index.html"
"21: Inquiries into Art, History, and the Visual","Journal","collected from a compatible aggregator","","https://journals.ub.uni-heidelberg.de/index.php/xxi/about"
"Swahili Forum","Journal","Not yet registered","","https://www.gkr.uni-leipzig.de/en/swahili-forum/"
"Journal of Patient-Centered Research and Reviews","Journal","collected from a compatible aggregator","","https://institutionalrepository.aah.org/jpcrr/"
"Nomenclatura","Journal","Not yet registered","","https://uknowledge.uky.edu/naeh"
"eJournal of Education Policy","Journal","collected from a compatible aggregator","","http://nau.edu/COE/eJournal/"
"Film Criticism","Journal","collected from a compatible aggregator","","http://www.filmcriticismjournal.org/"
"Asian Journal of Oncology","Journal","collected from a compatible aggregator","","https://doi.org/10.1055/s-00042137"
"Critical Care Explorations","Journal","collected from a compatible aggregator","","https://journals.lww.com/ccejournal/pages/default.aspx"
"Small Science","Journal","Not yet registered","","https://onlinelibrary.wiley.com/journal/26884046"
"International Journal of Orientation &amp; Mobility","Journal","collected from a compatible aggregator","","https://www.exeley.com/journal/International_Journal_of_Orientation_and_Mobility"
"Issues in Science and Technology Librarianship : a quarterly publication of the Science and Technology Section, Association of College and Research Libraries","Journal","collected from a compatible aggregator","","http://www.istl.org/"
"Journal of Public and Nonprofit Affairs","Journal","collected from a compatible aggregator","","https://www.jpna.org"
"International Journal of Speleology","Journal","collected from a compatible aggregator","","http://scholarcommons.usf.edu/ijs"
"Secrecy and Society","Journal","collected from a compatible aggregator","","http://scholarworks.sjsu.edu/secrecyandsociety/"
"Hessische Blätter für Volksbildung","Journal","Not yet registered","","https://www.hessische-blaetter.de/"
"American Journal of Cancer Science","Journal","collected from a compatible aggregator","","http://ivyunion.org/index.php/ajcs"
"International Journal of Online Engineering (iJOE)","Journal","collected from a compatible aggregator","","http://www.i-joe.org"
"Open Theology","Journal","collected from a compatible aggregator","","https://www.degruyter.com/journal/key/opth/html"
"AIMS Genetics","Journal","collected from a compatible aggregator","","http://www.aimspress.com/journal/aimsg"
"Sociological Science","Journal","collected from a compatible aggregator","","https://www.sociologicalscience.com/"
"Southern Spaces","Journal","collected from a compatible aggregator","","http://southernspaces.org"
"Semantics and Pragmatics","Journal","collected from a compatible aggregator","","http://semprag.org"
"The Journal of the Rutgers University Library","Journal","collected from a compatible aggregator","","http://jrul.libraries.rutgers.edu/index.php/jrul/index"
"New Theology Review","Journal","collected from a compatible aggregator","","http://newtheologyreview.org/"
"Clinical and Translational Gastroenterology","Journal","collected from a compatible aggregator","","http://www.clintranslgastro.com"
